Institution,First Nation,State,County,MNI,AFO,Published Date,Last Updated
"Beloit College, Logan Museum of Anthropology",Caddo Nation of Oklahoma,AR,Saline,1,83,2013-09-13,2013-09-16
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Burleigh,1,0,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Mercer,2,1,2012-08-14,2012-08-23
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Morton,2,0,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Oliver,5,11,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Oliver,1,37,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Oliver,5,0,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Unknown,2,773,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Unknown,3,0,2012-08-14,2012-08-23
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,ND,Unknown,1,0,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,SD,Hughes,11,1,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,SD,Stanley,2,4,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,SD,Sully,7,13,2012-08-14,2012-08-23
"Beloit College, Logan Museum of Anthropology",Mandan-Hidatsa-Arikara Nation,SD,Unknown,6,0,2012-08-14,2012-08-14
"Beloit College, Logan Museum of Anthropology",All Ojibwe Nations in Wisconsin,WI,Ashland,2,9,2011-05-13,2011-05-19
"Beloit College, Logan Museum of Anthropology",All Ojibwe Nations in Wisconsin,WI,Langlade,1,0,2011-05-13,2011-05-19
Milwaukee Public Museum,,AK,Aleutians East,1,0,2001-01-26,2009-11-20
Milwaukee Public Museum,,AK,Kodiak Island,1,0,2001-03-20,2009-11-20
Milwaukee Public Museum,,AK,Prince of Wales-Outer Ketchikan,1,0,2001-01-26,2009-11-20
Milwaukee Public Museum,,AZ,Maricopa,2,0,2004-11-23,2009-11-20
Milwaukee Public Museum,,CA,Santa Barbara,1,0,2001-03-20,2009-11-20
Milwaukee Public Museum,,NE,Howard,1,0,2001-02-21,2009-11-20
Milwaukee Public Museum,,NE,Sarpy,2,0,2001-03-20,2009-11-20
Milwaukee Public Museum,,NM,Catron,1,0,2002-03-25,2009-11-20
Milwaukee Public Museum,,NY,Ontario,1,0,2001-02-21,2009-11-20
Milwaukee Public Museum,,ND,Morton,2,0,2001-01-26,2009-11-27
Milwaukee Public Museum,,ND,Morton,5,0,2001-01-26,2009-11-27
Milwaukee Public Museum,,OR,Unknown,1,0,2000-01-14,2009-11-27
Milwaukee Public Museum,,WA,Okanogan,2,158,2001-01-26,2009-11-27
Milwaukee Public Museum,,WI,Calumet,1,145,2001-05-03,2009-11-20
Milwaukee Public Museum,,WI,Fond du Lac,1,1,2004-11-23,2009-11-20
Milwaukee Public Museum,,WI,Green Lake,1,1,2004-11-23,2009-11-20
Milwaukee Public Museum,,WI,Manitowoc,1,0,2001-05-03,2009-11-20
Milwaukee Public Museum,,WI,Vilas,2,20,2001-01-26,2009-11-20
Milwaukee Public Museum,,WI,Waukesha,1,3,2001-05-03,2009-11-20
Milwaukee Public Museum,,WI,Winnebago,1,0,2004-11-23,2009-11-20
